match_id,throw,comeback,loss,first_blood_time,patch
8605513023,3767.0,,31150.0,0,58
8605445080,,6397.0,,179,58
8605437813,155.0,,16959.0,155,58
8605411433,,2276.0,,24,58
8605403905,,0.0,,36,58
8605323294,110.0,,19341.0,116,58
8605308834,5366.0,,22960.0,3,58
8605215449,,9794.0,,5,58
8605207735,,197.0,,123,58
8605192234,,688.0,,61,58
8605190938,,7076.0,,242,58
8605115782,,444.0,,186,58
8605070909,,-26.0,,0,58
8605069558,2041.0,,24759.0,32,58
8605069135,,-2.0,,5,58
8604974662,149.0,,15151.0,269,58
8604941293,,-420.0,,0,58
8604935721,2544.0,,18386.0,159,58
8604888305,714.0,,11855.0,75,58
8604851194,,0.0,,7,58
8604847489,,34.0,,99,58
8604819918,666.0,,22532.0,0,58
8604809016,0.0,,16992.0,52,58
8604735932,9799.0,,16808.0,64,58
8604734208,,0.0,,127,58
8604733776,,1633.0,,5,58
8604733543,1743.0,,19615.0,301,58
8603931041,,2046.0,,40,58
8603895710,17.0,,25795.0,372,58
8603884585,,3259.0,,264,58
8603850215,0.0,,29583.0,49,58
8603847906,907.0,,15803.0,309,58
8603810835,1029.0,,12355.0,143,58
8603728193,-11.0,,25232.0,0,58
8603724740,,22.0,,119,58
8603714760,,11066.0,,4,58
8603709082,154.0,,44385.0,0,58
8603614526,,-250.0,,264,58
8603604691,,1509.0,,126,58
8603501608,35.0,,19044.0,83,58
8603500020,,357.0,,108,58
8603495438,1937.0,,14230.0,188,58
8603488410,,8974.0,,61,58
8603380188,,591.0,,294,58
8603372377,9.0,,34222.0,189,58
8603371983,,134.0,,223,58
8603371981,,87.0,,69,58
8603199591,,970.0,,9,58
8603145326,,528.0,,179,58
8603138581,72.0,,12626.0,229,58
8603132303,,247.0,,254,58
8603074586,1240.0,,27735.0,102,58
8603059957,,103.0,,270,58
8603056442,,71.0,,31,58
8603054525,,0.0,,136,58
8602376621,2970.0,,26379.0,117,58
8602309910,2632.0,,22845.0,139,58
8602246766,,1572.0,,193,58
8602183326,,5784.0,,0,58
8602181486,,0.0,,453,58
8602157582,,-22.0,,93,58
8602105739,782.0,,22822.0,185,58
8602073392,51.0,,21466.0,337,58
8602058022,1504.0,,15837.0,114,58
8602040130,,10926.0,,32,58
8601973291,0.0,,20108.0,110,58
8601935358,3244.0,,13079.0,0,58
8601850047,-525.0,,21590.0,0,58
8601832066,432.0,,32238.0,38,58
8601823184,,10328.0,,263,58
8601802928,1161.0,,25649.0,7,58
8601742840,221.0,,18662.0,66,58
8601713100,2624.0,,13138.0,306,58
8601697720,1349.0,,25060.0,376,58
8601693261,10177.0,,8415.0,169,58
8601593521,,2802.0,,4,58
8601486244,12371.0,,23115.0,320,58
8601469482,,1427.0,,370,58
8601455148,,0.0,,158,58
8601448564,0.0,,27190.0,35,58
8601394847,,4691.0,,242,58
8601391721,,245.0,,103,58
8601389598,1507.0,,12458.0,249,58
8601388908,,0.0,,194,58
8600824688,,522.0,,80,58
8600768084,4589.0,,12138.0,1,58
8600724673,1844.0,,28387.0,16,58
8600691524,,1179.0,,49,58
8600683075,,2506.0,,58,58
8600679706,,153.0,,186,58
8600597494,1088.0,,13674.0,128,58
8600597239,15183.0,,10860.0,60,58
8600578717,6273.0,,10922.0,102,58
8600568696,,1684.0,,0,58
8600488743,465.0,,20115.0,367,58
8600472700,,517.0,,228,58
8600459259,,3071.0,,285,58
8600403650,0.0,,16795.0,105,58
8600397564,-508.0,,23474.0,0,58
8600392329,,377.0,,106,58
8600366031,507.0,,20056.0,157,58
8600296592,0.0,,16870.0,198,58
8600296260,,2607.0,,244,58
8600272071,,141.0,,46,58
8600242335,,0.0,,141,58
8600178151,536.0,,24105.0,159,58
8600165105,,2052.0,,157,58
8600079155,13461.0,,4940.0,327,58
8600072883,,529.0,,95,58
8600068614,,0.0,,324,58
8600066945,,3620.0,,0,58
8599998293,,-5.0,,262,58
8599997748,32.0,,13939.0,101,58
8599992855,,878.0,,231,58
8599982169,4219.0,,9578.0,63,58
8599308014,,450.0,,282,58
8599300834,,1002.0,,133,58
8599294530,21736.0,,3179.0,55,58
8599269948,,671.0,,25,58
8599219039,304.0,,22868.0,240,58
8599208552,248.0,,18537.0,24,58
8599203083,7757.0,,10658.0,6,58
8599202972,526.0,,20271.0,191,58
8599091798,,0.0,,79,58
8599037388,3873.0,,32345.0,90,58
8599036653,,0.0,,9,58
8598987393,1118.0,,12544.0,52,58
8598982946,14040.0,,9398.0,3,58
8598918355,28.0,,24360.0,257,58
8598888081,,12390.0,,290,58
8598883977,531.0,,17837.0,43,58
8598861477,,21.0,,240,58
8598808366,425.0,,24843.0,84,58
8598716877,,0.0,,225,58
8598695323,0.0,,20457.0,169,58
8598682516,0.0,,18286.0,119,58
8598681318,0.0,,20428.0,229,58
8598618322,,1735.0,,421,58
8598616570,1724.0,,23563.0,314,58
8598615034,,8725.0,,372,58
8598614413,68.0,,24822.0,130,58
8540545264,,2324.0,,237,58
8540450895,,988.0,,66,58
8540357223,,792.0,,191,58
8540189130,11176.0,,6527.0,114,58
8539982033,,77.0,,396,58
8539809790,207.0,,31389.0,78,58
8539067262,0.0,,28950.0,124,58
8538982213,,176.0,,284,58
8538849304,,47.0,,104,58
